datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-06-10,25.0,21.0,montrose
2007-06-11,36.0,28.0,montrose
2007-06-12,26.0,21.0,montrose
2007-06-13,16.0,13.0,montrose
2007-06-14,25.0,20.0,montrose
2007-06-15,17.0,14.0,montrose
2007-06-16,32.0,26.0,montrose
2007-06-17,35.0,21.0,montrose
2007-06-18,21.0,14.0,montrose
2007-06-19,20.0,15.0,montrose
2007-06-20,23.0,16.0,montrose
2007-06-21,32.0,23.0,montrose
2007-06-22,33.0,25.0,montrose
2007-06-23,22.0,17.0,montrose
2007-06-24,24.0,18.0,montrose
2007-06-25,22.0,18.0,montrose
2007-06-26,17.0,14.0,montrose
2007-06-27,26.0,20.0,montrose
2007-06-28,21.0,15.0,montrose
2007-06-29,17.0,13.0,montrose
2007-07-01,17.0,14.0,montrose
2007-07-02,16.0,13.0,montrose
2007-07-03,16.0,14.0,montrose
2007-07-04,44.0,32.0,montrose
2007-07-05,38.0,30.0,montrose
2007-07-06,38.0,31.0,montrose
2007-07-07,30.0,22.0,montrose
2007-07-08,29.0,22.0,montrose
2007-07-09,21.0,16.0,montrose
2007-07-10,20.0,14.0,montrose
2007-07-11,41.0,30.0,montrose
2007-07-12,22.0,17.0,montrose
2007-07-13,22.0,15.0,montrose
2007-07-14,21.0,16.0,montrose
2007-07-15,30.0,23.0,montrose
2007-07-16,40.0,31.0,montrose
2007-07-17,41.0,36.0,montrose
2007-07-18,39.0,31.0,montrose
2007-07-19,33.0,25.0,montrose
2007-07-20,37.0,29.0,montrose
2007-07-21,36.0,26.0,montrose
2007-07-22,33.0,28.0,montrose
2007-07-23,45.0,35.0,montrose
2007-07-24,31.0,25.0,montrose
2007-07-25,41.0,35.0,montrose
2007-07-26,30.0,24.0,montrose
2007-07-27,33.0,26.0,montrose
2007-07-28,29.0,23.0,montrose
2007-07-29,53.0,37.0,montrose
2007-07-30,29.0,22.0,montrose
2007-08-01,38.0,32.0,montrose
2007-08-02,,22.0,montrose
2007-08-03,30.0,24.0,montrose
2007-08-04,24.0,21.0,montrose
2007-08-05,20.0,16.0,montrose
2007-08-06,30.0,17.0,montrose
2007-08-07,21.0,16.0,montrose
2007-08-08,15.0,13.0,montrose
2007-08-09,15.0,13.0,montrose
2007-08-10,17.0,14.0,montrose
2007-08-11,31.0,22.0,montrose
2007-08-12,32.0,24.0,montrose
