datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-01-03,13.0,10.0,aspen
2007-01-04,30.0,22.0,aspen
2007-01-05,16.0,13.0,aspen
2007-01-06,16.0,13.0,aspen
2007-01-07,15.0,12.0,aspen
2007-01-08,13.0,12.0,aspen
2007-01-09,13.0,10.0,aspen
2007-01-10,14.0,12.0,aspen
2007-01-11,35.0,25.0,aspen
2007-01-12,26.0,22.0,aspen
2007-01-13,15.0,12.0,aspen
2007-01-14,10.0,9.0,aspen
2007-01-15,10.0,8.0,aspen
2007-01-16,10.0,9.0,aspen
2007-01-18,13.0,10.0,aspen
2007-01-19,12.0,10.0,aspen
2007-01-20,10.0,10.0,aspen
2007-01-21,12.0,8.0,aspen
2007-01-22,10.0,9.0,aspen
2007-01-23,12.0,12.0,aspen
2007-01-24,10.0,9.0,aspen
2007-01-25,12.0,10.0,aspen
2007-01-26,13.0,12.0,aspen
2007-01-27,14.0,10.0,aspen
2007-01-28,13.0,12.0,aspen
2007-01-29,14.0,12.0,aspen
2007-01-30,12.0,9.0,aspen
2007-02-01,21.0,16.0,aspen
2007-02-02,15.0,12.0,aspen
2007-02-03,26.0,20.0,aspen
2007-02-04,14.0,13.0,aspen
2007-02-05,14.0,10.0,aspen
2007-02-06,12.0,12.0,aspen
2007-02-07,12.0,10.0,aspen
2007-02-08,22.0,17.0,aspen
2007-02-09,15.0,13.0,aspen
2007-02-10,9.0,8.0,aspen
2007-02-11,13.0,12.0,aspen
2007-02-12,20.0,13.0,aspen
2007-02-13,14.0,9.0,aspen
2007-02-14,28.0,20.0,aspen
2007-02-15,21.0,17.0,aspen
2007-02-16,41.0,30.0,aspen
2007-02-17,24.0,15.0,aspen
2007-02-18,16.0,12.0,aspen
2007-02-19,29.0,23.0,aspen
2007-02-20,12.0,10.0,aspen
2007-02-21,17.0,15.0,aspen
2007-02-22,25.0,20.0,aspen
2007-02-23,29.0,21.0,aspen
2007-02-24,31.0,21.0,aspen
2007-02-25,15.0,12.0,aspen
2007-02-26,21.0,17.0,aspen
2007-02-27,22.0,17.0,aspen
2007-03-01,30.0,25.0,aspen
2007-03-02,24.0,18.0,aspen
2007-03-03,14.0,12.0,aspen
2007-03-04,12.0,10.0,aspen
2007-03-05,12.0,12.0,aspen
